"id","kind","item","owner","evidence_location","completion_claim","note","anchor","line","fingerprint"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.11.1","evidence_requirement","> **Historical (Wave A Item 3):** This July 2026 two-provider Brain/Skills plan is","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.11.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.11.1","11","e1691dd0d995adf67c2644b23e9242c97b74381320079ac7ba7f5ddc62a69d0f"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.12.1","evidence_requirement","> retained for provenance only. It is **not** the current Lisa five-provider","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.12.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.12.1","12","ef5b4a27544b137fe6e685625f82ecb01ae771e452dbead5c8de18d536f6c8a4"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.13.1","evidence_requirement","> contract. It does not define Libraries or Autowork, and it still describes v1","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.13.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.13.1","13","a713088dbd5e9b9ea3aab0795496bdfb0d1b69bec6f1954f5fc3a703450d25b4"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.14.1","evidence_requirement","> MCP tool families. Authoritative Lisa five-provider policy is the accepted","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.14.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.14.1","14","43a7f8d8c1c2283f656931b747fec6889fd70c8cdb0bc5b80da833bf172e4d86"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.15.1","evidence_requirement","> Item 3 PRD and implementation plan on `issue/189` (`docs/ITEM-3-CONNECT-OPENCLAW-PRIME-LISA-PRD.md`,","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.15.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.15.1","15","da593325187acdf6e9ac2f6fb60e41c086c6f3e32dab966460decb702da93978"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.16.1","evidence_requirement","> `docs/ITEM-3-CONNECT-OPENCLAW-PRIME-LISA-IMPLEMENTATION-PLAN.md`), with Wave A","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.16.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.16.1","16","8a2ecd679b829ca024ebbcffd0436adaabc3a0809df57279830311d747f2a8e2"
"prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.17.1","evidence_requirement","> source under `linkbots/lisa/ops/providers/`","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.17.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.openclaw_prime_lisa_linkbrain_linkskills_detailed_implementation_plan.17.1","17","ad5f070e46e11912f1b80686bbd52283f984d07134c3da883b6fed581a27285c"
"prose.1_purpose_and_decision.31.1","evidence_requirement","This plan defines how the canonical Lisa actor will consume LiNKbrain and LiNKskills through OpenClaw Prime without replacing native OpenClaw behavior or merging the two domains","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#prose.1_purpose_and_decision.31.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","prose.1_purpose_and_decision.31.1","31","f4cb58a903da225b4d13d76fab9548f35b9c7f05c1c01f702a69d480c0cd5da6"
"list.1_purpose_and_decision.35.1","task","one canonical Lisa actor","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.35.1","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.35.1","35","66faed057527de684b2cdff3462764369b6deb945c99cb79c5c77a603f213aff"
"list.1_purpose_and_decision.36.2","task","one Lisa OpenClaw runtime binding","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.36.2","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.36.2","36","621e7f01acaee3b3bbacb2d50c7c7991438bd520e610a019f690c470e45af2c0"
"list.1_purpose_and_decision.37.3","task","one Brain plugin and one Skills plugin","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.37.3","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.37.3","37","6ec4d149e63d4c9e752df343f3c0bfaa232301db6c4a0fc1619d442b6e2c10bb"
"list.1_purpose_and_decision.38.4","task","one Brain managed MCP server and one Skills managed MCP server","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.38.4","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.38.4","38","f24909f2038c81628f67ec4f93d74e9ae1c7ad83950647fbf25316e95beb2279"
"list.1_purpose_and_decision.39.5","task","Brain-only access to the minimum conversation-bearing lifecycle events required for capture, compaction safety, and coordination","OpenClaw (Grok Phase-13 coverage index; Codex classifies)","docs/execution/openclawdevelopmentplan01/PHASE-13-COVERAGE-EVIDENCE-INDEX.md#list.1_purpose_and_decision.39.5","not_claimed","No specific Grok implementation claim; Codex assigns Phase-14 classification from independent evidence review","list.1_purpose_and_decision.39.5","39","8c4ef07849b65904964379899d3d50a5355f5e28e5c28b7f2b3ea34f5ce92032"
